scaffold_id,product_id,smiles,inchikey,num_elaborations,is_scaffold,num_routes,route_1_num_steps,route_1_reaction_1_type,route_1_reaction_1_product_smiles,route_1_reaction_1_product_id,route_1_reaction_1_product_yield,route_1_reaction_1_reactant_1_smiles,route_1_reaction_1_reactant_1_id,route_1_reaction_1_reactant_2_smiles,route_1_reaction_1_reactant_2_id,route_2_num_steps,route_2_reaction_1_type,route_2_reaction_1_product_smiles,route_2_reaction_1_product_id,route_2_reaction_1_product_yield,route_2_reaction_1_reactant_1_smiles,route_2_reaction_1_reactant_1_id,route_2_reaction_1_reactant_2_smiles,route_2_reaction_1_reactant_2_id,route_3_num_steps,route_3_reaction_1_type,route_3_reaction_1_product_smiles,route_3_reaction_1_product_id,route_3_reaction_1_product_yield,route_3_reaction_1_reactant_1_smiles,route_3_reaction_1_reactant_1_id,route_3_reaction_1_reactant_2_smiles,route_3_reaction_1_reactant_2_id,route_4_num_steps,route_4_reaction_1_type,route_4_reaction_1_product_smiles,route_4_reaction_1_product_id,route_4_reaction_1_product_yield,route_4_reaction_1_reactant_1_smiles,route_4_reaction_1_reactant_1_id,route_4_reaction_1_reactant_2_smiles,route_4_reaction_1_reactant_2_id,route_5_num_steps,route_5_reaction_1_type,route_5_reaction_1_product_smiles,route_5_reaction_1_product_id,route_5_reaction_1_product_yield,route_5_reaction_1_reactant_1_smiles,route_5_reaction_1_reactant_1_id,route_5_reaction_1_reactant_2_smiles,route_5_reaction_1_reactant_2_id
122466,122466,COc1ccccc1CC(=O)N1CCC(CC(N)=O)C1,MSPWRYALONZABD-UHFFFAOYSA-N,0,True,2,1,Amidation,COc1ccccc1CC(=O)N1CCC(CC(N)=O)C1,122466,1.0,COc1ccccc1CC(=O)O,122504,NC(=O)CC1CCNC1,122521,1.0,Amidation,COc1ccccc1CC(=O)N1CCC(CC(N)=O)C1,122466.0,1.0,COc1ccccc1CC(=O)O,122504.0,NC(=O)CC1CCNC1,122521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
122467,122467,COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,DPQNQDXNIINHJH-UHFFFAOYSA-N,0,True,5,1,Amidation,COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,122467,1.0,NC(=O)C1CCCNC1,62341,COc1ncccc1CC(=O)O,122522,1.0,Amidation,COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,122467.0,1.0,NC(=O)C1CCCNC1,62341.0,COc1ncccc1CC(=O)O,122522.0,1.0,Amidation,COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,122467.0,1.0,NC(=O)C1CCCNC1,62341.0,COc1ncccc1CC(=O)O,122522.0,1.0,Amidation,COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,122467.0,1.0,NC(=O)C1CCCNC1,62341.0,COc1ncccc1CC(=O)O,122522.0,1.0,Amidation,COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,122467.0,1.0,NC(=O)C1CCCNC1,62341.0,COc1ncccc1CC(=O)O,122522.0
122469,122469,Cc1ccccc1NC(=O)c1ccc(C)c(C(N)=O)c1,MQPWOZBWSFDFOW-UHFFFAOYSA-N,0,True,1,1,Amidation,Cc1ccccc1NC(=O)c1ccc(C)c(C(N)=O)c1,122469,1.0,Cc1ccccc1N,122498,Cc1ccc(C(=O)O)cc1C(N)=O,122524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122489,122489,COc1cccnc1CC(=O)N1CCCC(C(N)=O)C1,VJNDTMIDSGNFJC-UHFFFAOYSA-N,16,True,2,1,Amidation,COc1cccnc1CC(=O)N1CCCC(C(N)=O)C1,122489,1.0,NC(=O)C1CCCNC1,62341,COc1cccnc1CC(=O)O,122542,1.0,Amidation,COc1cccnc1CC(=O)N1CCCC(C(N)=O)C1,122489.0,1.0,NC(=O)C1CCCNC1,62341.0,COc1cccnc1CC(=O)O,122542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
122496,122496,CSc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,OEVXZKJZIWUQNR-UHFFFAOYSA-N,20,True,2,1,Amidation,CSc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,122496,1.0,NC(=O)C1CCCNC1,62341,CSc1ccccc1CC(=O)O,122548,1.0,Amidation,CSc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,122496.0,1.0,NC(=O)C1CCCNC1,62341.0,CSc1ccccc1CC(=O)O,122548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
124220,124220,O=C(NCCc1cocn1)C1CCc2ccccc21,ZFSYVJFUGWTONQ-UHFFFAOYSA-N,40,True,1,1,Amidation,O=C(NCCc1cocn1)C1CCc2ccccc21,124220,1.0,NCCc1cocn1,122418,O=C(O)C1CCc2ccccc21,125495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124230,124230,NC(=O)C1CCCN(C(=O)Cc2ccccn2)C1,WMWYUEBZLNFETL-UHFFFAOYSA-N,48,True,1,1,Amidation,NC(=O)C1CCCN(C(=O)Cc2ccccn2)C1,124230,1.0,NC(=O)C1CCCNC1,62341,O=C(O)Cc1ccccn1,150352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124231,124231,NC(=O)C1CCCN(C(=O)C2CCOc3ccccc32)C1,RICWRLKMGADZTG-UHFFFAOYSA-N,17,True,1,1,Amidation,NC(=O)C1CCCN(C(=O)C2CCOc3ccccc32)C1,124231,1.0,NC(=O)C1CCCNC1,62341,O=C(O)C1CCOc2ccccc21,146197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124232,124232,NC(=O)C1CCCN(C(=O)Cc2ccn[nH]2)C1,WPGNVVSWAWFFDK-UHFFFAOYSA-N,41,True,1,1,Amidation,NC(=O)C1CCCN(C(=O)Cc2ccn[nH]2)C1,124232,1.0,NC(=O)C1CCCNC1,62341,O=C(O)Cc1ccn[nH]1,133593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124236,124236,NC(=O)C1CCCN(C(=O)C2CCc3ccccc32)C1,QLOUCWDEXUZFHL-UHFFFAOYSA-N,82,True,1,1,Amidation,NC(=O)C1CCCN(C(=O)C2CCc3ccccc32)C1,124236,1.0,NC(=O)C1CCCNC1,62341,O=C(O)C1CCc2ccccc21,125495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124229,112,COc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,OPWHNDXSBIGKDG-UHFFFAOYSA-N,252,False,1,1,Amidation,COc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,112,1.0,NC(=O)C1CCCNC1,62341,COc1ccccc1CC(=O)O,122504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124237,122455,COc1ccccc1CC(=O)N1CCC(C(N)=O)C1,ACVLTQNPXWHBQP-UHFFFAOYSA-N,283,False,2,1,Amidation,COc1ccccc1CC(=O)N1CCC(C(N)=O)C1,122455,1.0,COc1ccccc1CC(=O)O,122504,NC(=O)C1CCNC1,122505,1.0,Amidation,COc1ccccc1CC(=O)N1CCC(C(N)=O)C1,122455.0,1.0,COc1ccccc1CC(=O)O,122504.0,NC(=O)C1CCNC1,122505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
124233,126117,CC(=O)Nc1ccccc1OCc1ncccn1,OBDQPNJYILCDEQ-UHFFFAOYSA-N,138,False,1,1,Williamson_ether_synthesis,CC(=O)Nc1ccccc1OCc1ncccn1,126117,1.0,ClCc1ncccn1,122500,CC(=O)Nc1ccccc1O,126116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124235,158702,Cc1ccc(CC(=O)N2CCC3C(C2)C3C(N)=O)cc1,CJQYNGGJYUJXOQ-UHFFFAOYSA-N,39,False,1,1,Amidation,Cc1ccc(CC(=O)N2CCC3C(C2)C3C(N)=O)cc1,158702,1.0,Cc1ccc(CC(=O)O)cc1,124422,NC(=O)C1C2CCNCC21,158701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
