target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C124912,1,,,,NC(=O)C1(F)CCCNC1,O=C(O)Cc1cccc(O)c1,NC(=O)C1(F)CCCN(C(=O)Cc2cccc(O)c2)C1,Amidation,,
C156601,1,,,,O=C(O)C1Cc2ccccc21,CC1(C(N)=O)CCNC1,CC1(C(N)=O)CCN(C(=O)C2Cc3ccccc32)C1,Amidation,,
C156603,1,,,,O=C(O)C1Cc2ccccc21,CNC(=O)C1CCNC1,CNC(=O)C1CCN(C(=O)C2Cc3ccccc32)C1,Amidation,,
C124916,1,,,,NC(=O)C1(N)CCCNC1,O=C(O)Cc1cccc(O)c1,NC(=O)C1(N)CCCN(C(=O)Cc2cccc(O)c2)C1,Amidation,,
C156609,1,,,,O=C(O)C1Cc2ccccc21,O=C1NCC2CNCC12,O=C1NCC2CN(C(=O)C3Cc4ccccc43)CC12,Amidation,,
C158702,1,,,,Cc1ccc(CC(=O)O)cc1,NC(=O)C1C2CCNCC21,Cc1ccc(CC(=O)N2CCC3C(C2)C3C(N)=O)cc1,Amidation,,
C158711,1,,,,O=C(O)C(=O)c1ccccc1,NC(=O)C1C2CCNCC21,NC(=O)C1C2CCN(C(=O)C(=O)c3ccccc3)CC21,Amidation,,
C124935,1,,,,O=C1NCC2CCNCC12,O=C(O)Cc1cccc(O)c1,O=C1NCC2CCN(C(=O)Cc3cccc(O)c3)CC12,Amidation,,
C158716,1,,,,O=C(O)Cc1cccc(Cl)c1,NC(=O)C1C2CCNCC21,NC(=O)C1C2CCN(C(=O)Cc3cccc(Cl)c3)CC21,Amidation,,
C152420,1,,,,NC(=O)C1(F)CCCNC1,O=C(O)C1CCc2ccccc21,NC(=O)C1(F)CCCN(C(=O)C2CCc3ccccc32)C1,Amidation,,
C158733,1,,,,O=C(O)C(O)c1ccccc1,NC(=O)C1C2CCNCC21,NC(=O)C1C2CCN(C(=O)C(O)c3ccccc3)CC21,Amidation,,
C152440,1,,,,O=C1NCC2CCNCC12,O=C(O)C1CCc2ccccc21,O=C1NCC2CCN(C(=O)C3CCc4ccccc43)CC12,Amidation,,
C124960,1,,,,NC(=O)C1(N)CCCNC1,O=C(O)Cc1ccc(F)cc1,NC(=O)C1(NC(=O)Cc2ccc(F)cc2)CCCNC1,Amidation,,
C124961,1,,,,NC(=O)C1(N)CCCNC1,O=C(O)Cc1ccc(F)cc1,NC(=O)C1(N)CCCN(C(=O)Cc2ccc(F)cc2)C1,Amidation,,
C152445,1,,,,NC(=O)C1(N)CCCNC1,O=C(O)C1CCc2ccccc21,NC(=O)C1(NC(=O)C2CCc3ccccc32)CCCNC1,Amidation,,
C158743,1,,,,O=C(O)Cc1ccccc1F,NC(=O)C1C2CCNCC21,NC(=O)C1C2CCN(C(=O)Cc3ccccc3F)CC21,Amidation,,
C156657,1,,,,O=C(O)Cc1ccccc1I,NC(=O)C1(O)CCNC1,NC(=O)C1(O)CCN(C(=O)Cc2ccccc2I)C1,Amidation,,
C124968,1,,,,NC(=O)C1(O)CCCNC1,O=C(O)Cc1ccc(F)cc1,NC(=O)C1(O)CCCN(C(=O)Cc2ccc(F)cc2)C1,Amidation,,
C124970,1,,,,CNC(=O)C1CCCNC1,O=C(O)Cc1ccc(F)cc1,CNC(=O)C1CCCN(C(=O)Cc2ccc(F)cc2)C1,Amidation,,
C124971,1,,,,CC1CNCC(C(N)=O)C1,O=C(O)Cc1ccc(F)cc1,CC1CC(C(N)=O)CN(C(=O)Cc2ccc(F)cc2)C1,Amidation,,
C124972,1,,,,CC1CCC(C(N)=O)CN1,O=C(O)Cc1ccc(F)cc1,CC1CCC(C(N)=O)CN1C(=O)Cc1ccc(F)cc1,Amidation,,
C122846,1,,,,O=C1NCC2CCNCC12,O=C(O)C1CSc2ccccc21,O=C1NCC2CCN(C(=O)C3CSc4ccccc43)CC12,Amidation,,
C122847,1,,,,CC1CNCC(C(N)=O)C1,O=C(O)C1CSc2ccccc21,CC1CC(C(N)=O)CN(C(=O)C2CSc3ccccc32)C1,Amidation,,
C152453,1,,,,CC1CCC(C(N)=O)CN1,O=C(O)C1CCc2ccccc21,CC1CCC(C(N)=O)CN1C(=O)C1CCc2ccccc21,Amidation,,
C122849,1,,,,CC1CCC(C(N)=O)CN1,O=C(O)C1CSc2ccccc21,CC1CCC(C(N)=O)CN1C(=O)C1CSc2ccccc21,Amidation,,
C122850,1,,,,NC(=O)C1(F)CCCNC1,O=C(O)C1CSc2ccccc21,NC(=O)C1(F)CCCN(C(=O)C2CSc3ccccc32)C1,Amidation,,
C124976,1,,,,NC(=O)C1(F)CCCNC1,O=C(O)Cc1ccc(F)cc1,NC(=O)C1(F)CCCN(C(=O)Cc2ccc(F)cc2)C1,Amidation,,
